Year,FSCALE,INJURIES,FATALITIES,LOSS,LOSS2015
2008,1,143,4,265.302,292.0626295
2008,2,266,21,617.269,679.5320324
2008,3,762,79,585.332,644.3735933
2008,4,941,63,439.11,483.4023914
2008,5,70,9,100.3,110.4171161
2009,0,7,1,14.418,15.93152031
2009,1,90,3,99.25,109.6687051
2009,2,58,2,166.439,183.9108273
2009,3,151,6,211.378,233.5672701
2009,4,58,18,106,117.1272821
2010,0,7,0,14.59915,15.87269145
2010,1,48,4,826.0863,898.1490668
2010,2,177,3,332.655,361.673808
2010,3,211,24,197.603,214.8406892
2010,4,443,32,846.72,920.5827259
2011,0,17,0,17.704,18.65784334
2011,1,96,7,876.184,923.3904096
2011,2,367,28,543.181,572.4461142
2011,3,1328,79,1030.822,1086.359884
2011,4,2707,225,3788.122,3992.215705
2011,5,1801,403,5397.95,5688.776857
2012,0,17,1,9.5795,9.889214664
2012,1,43,1,52.979,54.69186322
2012,2,268,18,709.528,732.4677386
2012,3,564,41,925.525,955.4481342
2012,4,116,34,139.51,144.0204956
2013,0,11,0,9.1768,9.336734271
2013,1,64,3,68.7555,69.95377835
2013,2,87,2,110.6405,112.5687547
2013,3,155,17,344.495,350.4988964
2013,4,277,13,1119.4,1138.909025
2013,5,212,24,2000,2034.856218
2014,0,16,0,7.036,7.044351565
2014,1,53,2,43.306,43.35740319
2014,2,145,10,101.421,101.5413843
2014,3,171,8,115.244,115.3807919
2014,4,299,28,360.625,361.0530533
2015,0,17,0,10.4516,10.4516
2015,1,48,1,69.815,69.815
2015,2,199,8,103.4345,103.4345
2015,3,144,6,82.783,82.783
2015,4,551,30,67.644,67.644
